Sample	L_sinapis-DNA-BLab	No_hits	Lotus_corniculatus-genomic-NCBI	23S_28S_LSU_rRNA_insecta-SILVA	Adapters_Illumina	Lotus_japonicus-genomic	16S_18S_SSU_rRNA_insecta-SILVA	5S_rRNA_Rfam-EMBL-EBI-all_species	5_8S_rRNA_Rfam-EMBL-EBI-all_species	Multiple_Genomes	Wolbachia-DNA-ensembl	Drosophila_ensembl	Human_ensembl	L_sinapis-repeats-BLab
P11917_163_S110_R2_001_SORTMERNA_CLEAN_screen	9515258.0	282814.0	0.0	0.0	0.0	663.0	0.0	0.0	0.0	712997.0	129.0	776.0	919.0	11.0
P11917_164_S111_R1_001_SORTMERNA_CLEAN_screen	14472857.0	317933.0	0.0	0.0	0.0	279.0	0.0	0.0	0.0	638609.0	160.0	1524.0	2041.0	278.0
P11917_164_S111_R2_001_SORTMERNA_CLEAN_screen	14381843.0	402819.0	0.0	0.0	0.0	337.0	0.0	0.0	0.0	645527.0	165.0	1183.0	1662.0	145.0
P11917_165_S112_R1_001_SORTMERNA_CLEAN_screen	8547580.0	926833.0	0.0	0.0	1.0	295.0	0.0	0.0	0.0	674954.0	735.0	446.0	654.0	24.0
P11917_165_S112_R2_001_SORTMERNA_CLEAN_screen	8427249.0	1012106.0	0.0	0.0	0.0	375.0	0.0	0.0	0.0	709907.0	766.0	499.0	593.0	27.0
P11917_166_S113_R1_001_SORTMERNA_CLEAN_screen	12701766.0	639821.0	0.0	0.0	0.0	524.0	0.0	0.0	0.0	1127950.0	3161.0	616.0	1692.0	65.0
P11917_166_S113_R2_001_SORTMERNA_CLEAN_screen	12549501.0	713646.0	0.0	0.0	0.0	626.0	0.0	0.0	0.0	1205979.0	3202.0	830.0	1713.0	98.0
P11917_167_S114_R1_001_SORTMERNA_CLEAN_screen	7889660.0	1289281.0	0.0	0.0	0.0	2286.0	0.0	0.0	0.0	229890.0	128.0	567.0	5818.0	57.0
P11917_167_S114_R2_001_SORTMERNA_CLEAN_screen	7851121.0	1312825.0	0.0	0.0	0.0	2395.0	0.0	0.0	0.0	244920.0	160.0	551.0	5650.0	65.0
P11917_168_S115_R1_001_SORTMERNA_CLEAN_screen	8079632.0	735762.0	0.0	0.0	0.0	459.0	0.0	0.0	0.0	276970.0	42.0	457.0	1367.0	27.0
P11917_168_S115_R2_001_SORTMERNA_CLEAN_screen	8045505.0	771231.0	0.0	0.0	0.0	574.0	0.0	0.0	0.0	275756.0	45.0	394.0	1180.0	31.0
